,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
37,CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,CORE2023,Unranked,none,fedcsis,4602.0,0,
24,Graph Drawing,GD,CORE2023,A,none,gd,4613.0,0,
8,Genetic and Evolutionary Computations,GECCO,CORE2023,A,none,gecco,4602.0,3,5.0
25,Graphics Interface,GI,CORE2023,B,none,graphicsinterface,4607.0,0,
5,IEEE Global Telecommunications Conference,GLOBECOM,CORE2023,B,none,globecom,4606.0,2,5.0
48,"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,CORE2023,C,none,gpc,4606.0,0,
44,International Conference on Generative Programming and Component Engineering,GPCE,CORE2023,B,none,gpce,4612.0,0,
16,International Wordnet Conference (Global Wordnet Conference),GWC,CORE2023,C,none,wordnet,4605.0,0,
39,Human-Agent Interaction,HAI,CORE2023,B,none,hai,4608.0,0,
13,International Conference on Hybrid Artificial Intelligence Systems,HAIS,CORE2023,National,none,hais,4602.0,0,
26,Haskell Workshop,HASKELL,CORE2023,C,none,haskell,4612.0,0,
8,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,none,hcomp,4608.0,0,
27,Hawaii International Conference on System Sciences,HICSS,CORE2018,A,none,hicss,806.0,3,3.3
14,International Conference on Hybrid Intelligent Systems,HIS,CORE2023,C,none,his,4602.0,0,
43,Symposium on High Performance Chips,HOTCHIPS (HCS),CORE2023,C,none,hotchips,4606.0,0,
10,IEEE Symposium on High-Performance Interconnects,HOTI,CORE2023,National,none,hoti,4606.0,0,
31,Workshop on Mobile Computing Systems and Applications,HOTMOBILE,CORE2023,National,none,wmcsa,4606.0,0,
27,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National,none,hotnets,4606.0,0,
0,International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,CORE2023,C,none,hpcasia,4606.0,0,
5,International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*,none,hpca,4606.0,0,
41,ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A,none,hpdc,4606.0,0,
33,IEEE Workshop on High Performance Switching and Routing,HPSR,CORE2023,C,none,hpsr,4606.0,0,
38,Human System Interaction,HSI,CORE2023,C,none,hsi,4608.0,0,
45,IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,CORE2023,C,none,healthcom,4601.0,1,
5,International Conference on High Performance Computing,HiPC,CORE2023,National,none,hipc,4606.0,2,5.0
13,USENIX Workshop on Hot Topics in Operating Systems,HotOS,CORE2023,A,none,hotos,4606.0,1,
21,ACM Conference on Hypertext and Social Media,Hypertext,CORE2018,A,none,ht,805.0,0,
28,"International Symposium on Parallel Architectures, Algorithms and Networks",I-SPAN,CORE2020,B,none,ispan,4606.0,0,
35,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,none,si3d,4607.0,0,
6,International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,CORE2023,C,none,iics,4601.0,0,
7,IEEE Industry Applications Society Annual Conference,IAS,CORE2023,National,none,iasam,4601.0,0,
26,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,CORE2023,C,none,ic3k,4605.0,0,
40,International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,CORE2023,C,none,ica3pp,4606.0,0,
35,International Conference on Agents and Artificial Intelligence,ICAART,CORE2023,B,none,icaart,4602.0,0,
19,IEEE International Conference on Autonomic Computing,ICAC,CORE2023,B,none,icac,4606.0,0,
48,International Conference on Artificial Intelligence and Law,ICAIL,CORE2023,C,none,icail,4602.0,0,
0,International Conference on Artificial Intelligence and Soft Computing,ICAISC,CORE2023,National,none,icaisc,4602.0,34,4.9
37,International Colloquium on Automata Languages and Programming,ICALP,CORE2023,A,none,icalp,4613.0,2,5.0
16,IEEE International Conference on Advanced Learning Technologies,ICALT,CORE2023,B,none,icalt,4601.0,0,
6,International Conference on Artificial Neural Networks,ICANN,CORE2023,C,none,icann,4611.0,0,
11,International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*,none,icaps,4602.0,0,
24,"International Conference on Control, Automation, Robotics and Vision",ICARCV,CORE2023,C,none,icarcv,4602.0,0,
14,"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2018,B,none,icassp,,2,4.0
9,International Conference on Artificial Reality and Telexistence,ICAT,CORE2017,B,none,icat,801.0,0,
27,IEEE International Conference on Communications,ICC,CORE2018,B,none,icc,1006.0,2,3.0
47,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,CORE2023,A,none,iccad,4606.0,1,5.0
36,International Conference on Computational Creativity,ICCC,CORE2023,C,none,icccrea,46.0,0,
35,International Conference on Computational Collective Intelligence,ICCCI,CORE2023,B,none,iccci,4602.0,73,4.7
0,International Conference on Computer Communication and Networks,ICCCN,CORE2023,B,none,icccn,4606.0,1,
11,International Conference on Computers Helping People with Special Needs,ICCHP,CORE2023,C,none,icchp,4601.0,0,
26,IEEE International Conference on Cognitive Informatics,ICCI,CORE2023,C,none,IEEEicci,4602.0,0,
32,IEEE International Conference on Computer Languages,ICCL,CORE2018,A,none,iccl,803.0,0,
10,IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,CORE2023,National,none,iccp2,4602.0,0,
46,International Conference on Computational Science,ICCS,CORE2023,Unranked,none,iccS,4601.0,3,5.0
19,International Conference on Conceptual Structures,ICCS,CORE2021,B,none,iccs,4613.0,0,
47,International Conference on Computational Science and its Applications,ICCSA,CORE2023,C,none,iccsa,46.0,0,
33,IEEE International Conference on Computer Vision,ICCV,CORE2023,A*,none,iccv,4603.0,3,5.0
7,International Conference on Computer Vision and Graphics,ICCVG,CORE2023,National,none,iccvg,4603.0,0,
42,IEEE International Conference on Document Analysis and Recognition,ICDAR,CORE2023,A,none,icdar,4605.0,2,5.0
2,International Conference on Distributed Computing and Internet Technologies,ICDCIT,CORE2023,National,none,icdcit,4606.0,0,
3,International Conference on Distributed Computing and Networking,ICDCN,CORE2023,National,none,icdcn,4606.0,7,4.7
4,International Conference on Distributed Computing Systems,ICDCS,CORE2023,A,none,icdcs,4606.0,4,5.0
34,International Conference on Data Engineering,ICDE,CORE2023,A*,none,icde,4605.0,0,
46,International Conference on Digital Economy,ICDEc,CORE2018,Unranked,none,icdec,806.0,0,
37,IEEE International Conference on Data Mining,ICDM,CORE2023,A*,none,icdm,4605.0,1,5.0
36,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,CORE2023,B,none,icdsc,4606.0,0,
38,International Conference on Database Theory,ICDT,CORE2023,A,none,icdt,4605.0,0,
24,International Conference on Entertainment Computing,ICEC,CORE2023,C,none,iwec,4607.0,0,
46,IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,CORE2023,B,none,iceccs,4612.0,0,
48,International Computing Education Research Workshop,ICER,CORE2023,A,none,icer,4608.0,0,
5,International Conference Formal Concept Analysis Conference,ICFCA,CORE2023,C,none,icfca,4613.0,1,4.0
48,IEEE International Conference on Fog and Edge Computing,ICFEC,CORE2023,C,none,icfec,4606.0,0,
40,International Conference on Frontiers of Handwriting Recognition,ICFHR,CORE2023,B,none,icfhr,4603.0,0,
42,International Conference on Functional Programming,ICFP,CORE2023,A,none,icfp,4612.0,0,
0,IEEE International Conference on Global Software Engineering,ICGSE,CORE2023,C,none,icgse,4612.0,0,
47,International Conference on Graph Transformations,ICGT,CORE2023,B,none,gg,4613.0,0,
16,International Conference on Image Analysis and Processing,ICIAP,CORE2023,National,none,iciap,4603.0,1,3.0
17,International Conference on Image Analysis and Recognition,ICIAR,CORE2023,C,none,iciar,4603.0,0,
21,International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,CORE2023,C,none,icids,4607.0,3,4.7
18,International Conference on Image and Graphics,ICIG,CORE2023,National,none,icig,4607.0,0,
47,"Conference on Innovation in Clouds, Internet and Networks",ICIN,CORE2023,National,none,icin,4606.0,0,
27,"International Conference on Informatics in Control, Automation and Robotics",ICINCO,CORE2023,C,none,icinco,4602.0,0,
4,IEEE International Conference on Image Processing,ICIP,CORE2023,B,none,icip,4603.0,2,1.0
44,IEEE/ACIS International Conference on Computer and Information Science,ICIS,CORE2023,C,none,ACISicis,46.0,1,4.0
42,International Conference on Information Systems,ICIS,CORE2018,A*,none,icis,806.0,0,
41,International Conference on Information Security and Cryptology,ICISC,CORE2023,National,none,icisc,4604.0,0,
19,International Conference on Image and Signal Processing,ICISP,CORE2023,C,none,icisp,4603.0,0,
45,International Conference on Information Systems Security,ICISS,CORE2023,National,none,iciss,4604.0,0,
46,International Conference on Information Systems Security and Privacy,ICISSP,CORE2023,C,none,icissp,4604.0,0,
42,International Conference on Logic Programming,ICLP,CORE2023,A,none,iclp,4613.0,0,
39,International Conference on Learning Representations,ICLR,CORE2023,A*,none,iclr,4611.0,0,
15,IEEE International Conference on Multimedia and Expo,ICME,CORE2023,A,none,icmcs,4603.0,0,
27,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,CORE2023,B,none,icmi,4608.0,1,4.0
44,International Conference on Machine Learning,ICML,CORE2023,A*,none,icml,4611.0,0,
45,International Conference on Machine Learning and Applications,ICMLA,CORE2023,C,none,icmla,4611.0,4,2.0
46,International Conference on Machine Learning and Cybernetics,ICMLC,CORE2023,National,none,icmlc,4611.0,0,
26,International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2023,B,none,mir,4603.0,0,
16,International Conference on Model Transformation,ICMT,CORE2023,B,none,icmt,4612.0,0,
47,International Conference on Machine Vision,ICMV,CORE2023,C,none,icmv,4603.0,0,
28,International Conference on Natural Computation,ICNC,CORE2023,National,none,icnc,4602.0,0,
37,International Conference on Neural Information Processing,ICONIP,CORE2023,B,none,iconip,4611.0,0,
47,International Conference on Operations Research and Enterprise Systems,ICORES,CORE2023,C,none,icores,4602.0,0,
0,International Conference on Smart homes and health Telematics,ICOST,CORE2023,C,none,icost,4601.0,0,
2,International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B,none,icpads,4606.0,0,
23,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,CORE2023,A,none,iwpc,4612.0,1,5.0
42,ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B,none,wosp,4612.0,0,
6,International Conference on Pattern Recognition,ICPR,CORE2023,B,none,icpr,4603.0,0,
7,International Conference on Pattern Recognition Applications and Methods,ICPRAM,CORE2023,C,none,icpram,4603.0,0,
25,IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*,none,icra,4602.0,6,4.5
36,ACM International Conference on Supercomputing,ICS,CORE2023,A,none,ics,4606.0,0,
3,International Conference on Software Architecture (was previously WICSA),ICSA,CORE2023,A,none,icsa,4612.0,11,4.9
6,International Conference on Software Engineering,ICSE,CORE2023,A*,none,icse,4612.0,3,4.5
25,International Conference on Systems Engineering,ICSEng,CORE2023,C,none,icseng,46.0,0,
32,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,CORE2023,A,none,icsm,4612.0,1,5.0
46,International Conference on Service Oriented Computing,ICSOC,CORE2023,A,none,icsoc,4606.0,1,4.0
15,International Conference on Software Reuse,ICSR,CORE2023,B,none,icsr,4612.0,0,
2,International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,CORE2023,B,none,ispw,4612.0,1,5.0
16,"International Conference on Software Testing, Verification and Validation",ICST,CORE2023,A,none,icst,4612.0,4,4.8
1,International Conference on Software and Data Technologies,ICSoft,CORE2023,C,none,icsoft,4612.0,0,
40,International Colloquium on Theoretical Aspects of Computing,ICTAC,CORE2023,C,none,ictac,4613.0,0,
1,International Conference on Tools with Artificial Intelligence,ICTAI,CORE2023,B,none,ictai,4602.0,1,5.0
28,International Conference on Information and Communication Technologies and Development,ICTD,CORE2023,C,none,ictd,4601.0,0,
19,"ICT in Education, Research, and Industrial Applications",ICTERI,CORE2023,National,none,icteri,4601.0,0,
44,International Conference on the Theory of Information Retrieval,ICTIR,CORE2023,Unranked,none,ictir,4605.0,0,
34,International Conference on Testing Software and Systems,ICTSS,CORE2023,C,none,pts,4612.0,0,
8,International Conference on Computer Vision Systems,ICVS,CORE2023,C,none,icvs,4603.0,0,
21,International Conference on Web Engineering,ICWE,CORE2023,B,none,icwe,4605.0,3,4.7
36,IEEE International Conference on Web Services,ICWS,CORE2023,A,none,icws,4606.0,0,
20,International Conference on Web and Social Media,ICWSM,CORE2023,A,none,icwsm,4601.0,2,3.0
14,Intelligent Data Analysis,IDA,CORE2023,B,none,ida,4605.0,0,
15,Intelligent Distributed Computing,IDC,CORE2023,Unranked,none,idc,4606.0,0,
25,International Conference on Informatics & Data-Driven Medicine,IDDM,CORE2023,C,none,iddm,4611.0,0,
10,International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,CORE2023,C,none,ideal,46.0,0,
21,The International Conference on Intelligent Environments,IE,CORE2023,B,none,intenv,4602.0,0,
24,International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,CORE2023,C,none,ieaaie,4602.0,0,
48,IEEE Consumer Communications and Networking Conference,IEEE CCNC,CORE2023,B,none,ccnc,4606.0,0,
46,IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,CORE2023,C,none,cifer,4601.0,0,
6,IEEE International Conference on Information and Automation,IEEE ICIA,CORE2023,National,none,icinfa,4602.0,0,
12,IEEE International Conference on Intelligent Systems,IEEE IS,CORE2023,C,none,is,4602.0,0,
9,IEEE Information Visualization Conference,IEEE InfoVis,CORE2020,A*,none,infovis,4608.0,0,
33,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,CORE2023,B,none,IEEEscc,4606.0,0,
14,IEEE Symposium on Visual Analytics Science and Technology,IEEE VAST,CORE2020,C,none,ieeevast,4608.0,4,5.0
21,IEEE Visualization,IEEE VIS,CORE2023,A,none,visualization,4608.0,0,
18,Intelligent Vehicles Conference,IEEE-IV,CORE2023,B,none,ivs,4602.0,0,
12,IFIP Information Security & Privacy Conference,IFIP SEC,CORE2023,B,none,sec,4604.0,0,
11,Integrated Formal Methods,IFM,CORE2023,B,none,ifm,4612.0,0,
29,IFSA World Congress,IFSA,CORE2023,C,none,ifsa,4602.0,0,
41,IEEE International Geoscience and Remote Sensing Symposium,IGARSS,CORE2023,C,none,igarss,4601.0,0,
39,Information Hiding and Multimedia Security Workshop,IH&MMSec,CORE2023,C,none,ih,4604.0,0,
40,Information Integration and Web-based Applications and Services,IIWAS,CORE2023,C,none,iiwas,46.0,1,4.0
19,International Joint Conference on Artificial Intelligence,IJCAI,CORE2023,A*,none,ijcai,4602.0,1,5.0
20,International Joint Conference on Automated Reasoning,IJCAR,CORE2023,A,none,ijcar,4602.0,0,
23,International Joint Conference on Computational Intelligence,IJCCI,CORE2023,C,none,ijcci,4602.0,0,
27,International Joint Conference on Natural Language Processing,IJCNLP,CORE2023,B,none,ijcnlp,4602.0,0,
43,IEEE International Joint Conference on Neural Networks,IJCNN,CORE2023,B,none,ijcnn,4611.0,7,4.2
29,International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),CORE2023,C,none,rskt,4602.0,0,
35,Inductive Logic Programming,ILP,CORE2023,B,none,ilp,4613.0,0,
28,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,CORE2023,B,none,im,4606.0,0,
27,Internet Measurement Conference,IMC,CORE2023,A,none,imc,4606.0,0,
31,International Conference on Cryptology in India,INDOCRYPT,CORE2023,National,none,indocrypt,4604.0,0,
31,IEEE International Conference on Computer Communications,INFOCOM,CORE2023,A*,none,infocom,4606.0,8,4.9
10,International Symposium on Innovations in Intelligent Systems and Applications,INISTA,CORE2023,C,none,inista,4602.0,0,
40,International Natural Language Generation Conference,INLG,CORE2023,B,none,inlg,4602.0,0,
42,International Network Optimization Conference,INOC,CORE2023,C,none,inoc,4606.0,0,
45,IEEE International On-Line Testing Symposium,IOLTS,CORE2023,C,none,iolts,4612.0,0,
49,Conference on Integer Programming and Combinatorial Optimization,IPCO,CORE2023,A,none,ipco,4613.0,0,
46,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,CORE2023,A,none,ipps,4606.0,1,4.0
29,International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,CORE2023,B,none,iwpec,4613.0,0,
23,International Conference on Indoor Positioning and Indoor Navigation,IPIN,CORE2023,C,none,ipin,4606.0,0,
36,International Conference on Information Processing and Management of Uncertainty,IPMU,CORE2023,C,none,ipmu,4605.0,0,
41,Information Processing in Sensor Networks,IPSN,CORE2023,A*,none,ipsn,4606.0,0,
7,IEEE International Conference on Information Reuse and Integration,IRI,CORE2023,National,none,iri,4605.0,0,
5,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,CORE2023,A,none,iros,4602.0,0,
14,International Symposium on Algorithms and Computation,ISAAC,CORE2023,A,none,isaac,4613.0,1,5.0
25,International Symposium on Autonomous Decentralized Systems,ISADS,CORE2023,C,none,isads,4606.0,0,
18,Conference for the International Simulation and Gaming Association,ISAGA,CORE2023,C,none,isaga,4607.0,0,
20,International Symposium on Artificial Intelligence and Mathematics,ISAIM,CORE2023,National,none,isaim,4602.0,0,
9,International Conference Information Systems Architecture and Technology,ISAT,CORE2023,National,none,isat,4606.0,0,
33,ISC High Performance (was International Supercomputing Conference),ISC,CORE2023,C,none,supercomputer,4606.0,0,
40,ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,none,isca,4612.0,0,
36,International Symposium on Computer and Information Sciences,ISCIS,CORE2020,C,none,iscis,46.0,0,
30,International Symposium on Combinatorial Optimisation,ISCO,CORE2023,C,none,iscopt,4613.0,1,5.0
16,International Conference on Intelligent Systems Designs and Applications,ISDA,CORE2023,C,none,isda,4602.0,0,
8,IEEE International Conference on Intelligence and Security Informatics,ISI,CORE2023,C,none,isi,4604.0,0,
6,International Symposium on Information and Communication Technologies,ISICT,CORE2020,C,none,isict,46.0,0,
8,IEEE International Symposium on Information Theory,ISIT,CORE2023,B,none,isit,4613.0,2,5.0
15,International Conference on Intelligent Systems and Knowledge Engineering,ISKE,CORE2023,National,none,iske,4602.0,0,
11,IEEE International Symposium on Multimedia,ISM,CORE2023,C,none,ism,4603.0,0,
49,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,CORE2023,A*,none,ismar,4607.0,0,
17,Intelligent Systems in Molecular Biology,ISMB,CORE2023,Unranked,none,ismb,4601.0,1,
49,International Symposium on Foundations of Intelligent Systems,ISMIS,CORE2023,C,none,ismis,4602.0,0,
19,International Symposium on Memory Management,ISMM,CORE2023,C,none,iwmm,4606.0,0,
22,"International Symposium on Networks, Computers and Communications",ISNCC,CORE2023,C,none,isncc,4606.0,2,5.0
23,International Symposium on Neural Networks,ISNN,CORE2023,C,none,isnn,4611.0,1,4.0
17,IEEE International Symposium on Real-Time Distributed Computing,ISORC,CORE2023,C,none,isorc,4606.0,0,
13,IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,CORE2023,C,none,ispa,4606.0,0,
14,IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,CORE2023,B,none,ispass,4612.0,0,
27,International Symposium on Parallel and Distributed Computing,ISPDC,CORE2023,C,none,ispdc,4606.0,0,
33,International Symposium on Robotics,ISR,CORE2018,A,none,isr,801.0,0,
31,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,CORE2023,Unranked,none,tabletop,4608.0,1,4.0
46,International Symposium on Symbolic and Algebraic Computation,ISSAC,CORE2023,A,none,issac,4613.0,0,
38,International Symposium on Software Reliability Engineering,ISSRE,CORE2023,A,none,issre,4612.0,1,5.0
39,International Symposium on Software Testing and Analysis,ISSTA,CORE2023,A,none,issta,4612.0,0,
5,International Symposium on Visual Computing,ISVC,CORE2023,National,none,isvc,4607.0,0,
3,International Semantic Web Conference,ISWC,CORE2023,A,none,semweb,4605.0,5,4.6
15,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,CORE2023,C,none,isola,4612.0,0,
28,International Conference on Internet Technologies and Applications,ITA,CORE2023,National,none,ita,46.0,0,
9,International Teletraffic Congress,ITC,CORE2023,Unranked,none,teletraffic,4606.0,0,
1,International Conference on Information Technology: Coding and Computing,ITCC,CORE2020,C,none,itcc,46.0,0,
5,Innovations in Theoretical Computer Science,ITCS,CORE2023,A,none,innovations,4613.0,0,
8,International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,CORE2023,Regional,none,itnac,4606.0,6,4.8
1,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,CORE2023,A,none,itp,4613.0,0,
18,International Conference on Intelligent Tutoring Systems,ITS,CORE2023,B,none,its,4601.0,0,
49,Information Theory Workshop,ITW,CORE2023,B,none,itw,4613.0,1,4.0
33,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2023,B,none,iticse,4608.0,0,
19,International Conference on Intelligent User Interfaces,IUI,CORE2023,A,none,iui,4608.0,0,
20,Intelligent Virtual Agents,IVA,CORE2023,B,none,iva,4602.0,1,4.0
17,International Work-Conference on Artificial and Natural Neural Networks,IWANN,CORE2023,National,none,iwann,4611.0,0,
37,International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,CORE2023,C,none,iwcia,4603.0,0,
42,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2023,B,none,iwcmc,4606.0,1,
45,International Workshop on Digital Watermarking,IWDW,CORE2023,C,none,iwdw,4604.0,0,
18,International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,CORE2023,National,none,iwinac,4602.0,0,
32,IEEE International Workshop on Quality of Service,IWQoS,CORE2023,B,none,iwqos,4606.0,0,
2,International Workshop on Security,IWSEC,CORE2023,National,none,iwsec,4604.0,0,
48,Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,CORE2023,C,none,iwsm,4612.0,0,
42,SKLOIS Conference on Information Security and Cryptology,Inscrypt,CORE2023,National,none,cisc,4604.0,0,
21,IFIP TC13 Conference on Human-Computer Interaction,Interact,CORE2023,B,none,interact,4608.0,1,5.0
31,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2023,A,none,interspeech,4602.0,0,
27,"International Conference on Internet of Things, Big Data and Security",IoTBDS,CORE2023,C,none,iotbd,4604.0,0,
17,ACM Conference on Digital Libraries,JCDL,CORE2018,A*,none,jcdl,806.0,2,4.5
36,"Logics in Artificial Intelligence, European Conference",JELIA,CORE2023,A,none,jelia,4613.0,0,
40,International Conference on Legal Knowledge and Information Systems,JURIX,CORE2023,C,none,jurix,4601.0,0,
18,Knowledge capture,K-CAP,CORE2023,B,none,kcap,4605.0,3,4.7
32,ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,none,kdd,4605.0,1,
34,International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,CORE2023,B,none,kes,4602.0,63,4.7
11,International Symposium on Intelligent and Interactive Multimedia: Systems and Services,KES IIMSS,CORE2020,C,none,iimss,4603.0,0,
38,International Conference on the Principles of Knowledge Representation and Reasoning,KR,CORE2023,A*,none,kr,4602.0,0,
33,"International Conference on Knowledge Science, Engineering and Management",KSEM,CORE2023,C,none,ksem,4602.0,0,
30,"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,CORE2023,C,none,lagos,4613.0,0,
38,International Conference on Learning Analytics and Knowledge,LAK,CORE2023,A,none,lak,4608.0,1,5.0
34,IEEE LAN/MAN Workshop,LANMAN,CORE2023,C,none,lanman,4606.0,0,
36,International Conference on Language and Automata Theory and Applications,LATA,CORE2023,C,none,lata,4613.0,0,
14,International Symposium on Latin American Theoretical Informatics,LATIN,CORE2023,B,none,latin,4613.0,2,4.0
38,IEEE Conference on Local Computer Networks,LCN,CORE2023,B,none,lcn,4606.0,1,4.0
6,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,CORE2023,B,none,lctrts,4606.0,0,
26,"Language, Data and Knowledge",LDK,CORE2023,Unranked,none,ldk,4602.0,0,
35,Logical Foundations of Computer Science,LFCS,CORE2023,National,none,lfcs,4613.0,0,
12,IEEE Symposium on Logic in Computer Science,LICS,CORE2023,A*,none,lics,4613.0,0,
16,International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,CORE2023,C,none,lopstr,4613.0,0,
43,International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,CORE2023,B,none,lpnmr,4602.0,0,
25,Language Resources and Evaluation Conference,LREC,CORE2023,B,none,lrec,4602.0,0,
34,International Workshop on MultiAgent Based Simulation,MABS,CORE2023,C,none,mabs,4602.0,0,
40,MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences,MACIS,CORE2023,C,none,macis,4613.0,0,
29,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2023,B,none,mascots,4606.0,36,5.0
14,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,CORE2023,B,none,mass,4606.0,0,
22,International Conference on Modelling Decisions for Artificial Intelligence,MDAI,CORE2023,B,none,mdai,4602.0,0,
10,International Conference on Mobile Data Management,MDM,CORE2023,B,none,mdm,4605.0,1,3.0
0,International Conference on Management of Digital EcoSystems,MEDES,CORE2023,C,none,medes,4606.0,29,4.3
14,International Conference on Model and Data Engineering,MEDI,CORE2023,C,none,medi,4605.0,0,
17,World Congress on Medical and Health Informatics,MEDINFO,CORE2018,B,none,medinfo,806.0,2,4.5
35,International Conference on Formal Methods and Models for Co-Design,MEMOCODE,CORE2023,C,none,memocode,4612.0,0,
17,International Symposium on Mathematical Foundations of Computer Science,MFCS,CORE2023,A,none,mfcs,4613.0,1,5.0
3,International Conference on Mathematical Foundations of Programming Semantics,MFPS,CORE2023,B,none,mfps,4613.0,0,
48,Medical Image Computing and Computer-Assisted Intervention,MICCAI,CORE2023,A,none,miccai,4601.0,0,
8,International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,CORE2023,National,none,mis4tel,4601.0,0,
15,Multimedia and Network Information Systems,MISSI,CORE2023,National,none,missi,4603.0,0,
7,International Conference on Methods and Models in Automation and Robotics,MMAR,CORE2023,National,none,mmar,4611.0,0,
25,International Conference on Multimedia Modelling,MMM,CORE2023,B,none,mmm,4603.0,0,
33,ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,none,mobicom,4606.0,0,
18,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A,none,mobihoc,4606.0,0,
15,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,CORE2023,A,none,models,4612.0,7,5.0
17,International Conference on Model-Driven Engineering and Software Development,MODELSWARD,CORE2023,C,none,modelsward,4606.0,0,
45,Mathematics of Program Construction,MPC,CORE2023,B,none,mpc,4613.0,0,
48,International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,CORE2023,C,none,pppj,4612.0,0,
23,IEEE International Working Conference on Mining Software Repositories,MSR,CORE2023,A,none,msr,4612.0,10,4.7
39,IEEE Conference on Mass Storage Systems and Technologies,MSST,CORE2023,National,none,mss,4606.0,0,
