,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
13,Asia-Pacific Software Engineering Conference,APSEC,CORE2021,B,none,apsec,4612,0,
14,Web and Big Data,APWEB,CORE2021,B,none,apweb,4605,0,
15,"International Conference on Availability, Reliability and Security",ARES,CORE2021,B,none,IEEEares,4604,0,
16,IEEE Symposium on Computer Arithmetic,ARITH,CORE2021,C,none,arith,4613,0,
17,International Symposium on Artificial Life and Robotics,AROB,CORE2021,C,none,,4602,0,
18,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2021,C,none,artsit,4607,0,
19,Automated Software Engineering Conference,ASE,CORE2021,A*,none,kbse,4612,2,5.0
20,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2021,A,none,asiaccs,4604,0,
21,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2021,A,none,asiacrypt,4604,0,
22,National Conference of The Australian Society for Operations Research,ASOR,CORE2021,Australasian C,none,,4602,0,
23,Asia and South Pacific Design Automation Conference,ASPDAC,CORE2021,C,none,aspdac,4606,0,
24,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2021,A*,none,asplos,4612,0,
25,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2021,C,none,asru,4602,0,
26,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,CORE2021,A,none,assets,4608,0,
27,Automation of Software Test,AST,CORE2021,C,none,ast,4612,0,
28,International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,CORE2021,C,none,atc,4604,0,
29,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,CORE2021,C,none,atmos,4613,0,
30,International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,CORE2021,National: Tunisia,none,atsip,4603,0,
31,International Symposium on Automated Technology for Verification and Analysis,ATVA,CORE2021,B,none,atva,4612,0,
32,Australian Data Mining Conference,AusDM,CORE2021,Australasian B,none,ausdm,4605,0,
33,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2021,Australasian C,none,,4606,0,
34,Advanced Visual Interfaces,AVI,CORE2021,B,none,avi,4608,1,5.0
35,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,CORE2021,B,none,avss,4603,0,
36,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,CORE2021,C,none,bdc,4611,0,
37,IEEE Bioinformatics and Bioengineering,BIBE,CORE2021,C,none,bibe,4601,0,
38,IEEE International Conference on Big Data,BigData,CORE2021,B,none,bigdataconf,4605,0,
39,International Conference in Business Process Management,BPM,CORE2021,A,none,bpm,4612,4,4.8
40,"International Conference on Broadband Communications, Networks and Systems",Broadnets,CORE2021,B,none,broadnets,4606,0,
41,Body Sensor Networks,BSN,CORE2021,C,none,bsn,4601,0,
42,"Datenbanksysteme fÃ¼r Business, Technologie und Web",BTW,CORE2021,National:Germany,none,btw,4605,0,
43,Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,CORE2021,B,none,,4601,0,
44,International Conference on Automated Deduction,CADE,CORE2021,A,none,cade,4602,0,
45,ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,CORE2021,C,none,,4601,0,
46,International Conference on Computer Analysis of Images and Patterns,CAIP,CORE2021,B,none,caip,4603,0,
